Coin,Sentiment,total_pnl,trades,win_rate
MYRO,Greed,51.19653,13,0.9230769230769231
NEAR,Extreme Fear,0.0,1,0.0
NEAR,Extreme Greed,6717.049831,132,0.9621212121212122
NEAR,Fear,5191.94818,58,0.9137931034482759
NEAR,Greed,2036.096536,24,0.6666666666666666
NEIROETH,Extreme Fear,0.0,1,0.0
NIL,Fear,-3175.273635,226,0.0752212389380531
NTRN,Extreme Greed,1711.3687009999999,65,0.8153846153846154
NTRN,Fear,189.04579,8,0.625
NTRN,Neutral,-298.65533600000003,26,0.038461538461538464
OM,Fear,-852.09264,28,0.7142857142857143
ONDO,Extreme Greed,11032.521734,209,0.7799043062200957
ONDO,Fear,3566.045512,526,0.5190114068441065
ONDO,Greed,2980.732782,58,0.9310344827586207
ONDO,Neutral,2.3714,1,1.0
OP,Extreme Fear,0.0,1,0.0
OP,Fear,112.032383,70,0.11428571428571428
OP,Greed,2396.96776,64,0.890625
ORDI,Extreme Greed,4.577412,5,0.4
ORDI,Greed,35.897842,21,0.42857142857142855
ORDI,Neutral,59.118368,13,0.6153846153846154
PENDLE,Extreme Fear,51.038697,18,0.2222222222222222
PENDLE,Extreme Greed,254.1928,12,0.8333333333333334
PENDLE,Fear,5082.64157,632,0.5158227848101266
PENDLE,Greed,1889.592328,123,0.5040650406504065
PENGU,Extreme Fear,29.854743000000003,11,1.0
PENGU,Fear,5963.158894,413,0.6222760290556901
PENGU,Greed,756.6867050000001,113,0.35398230088495575
PENGU,Neutral,2.8122439999999997,47,0.06382978723404255
PEOPLE,Extreme Greed,0.0,1,0.0
PEOPLE,Greed,360.646005,1,1.0
PIXEL,Extreme Greed,405.89459999999997,23,0.6956521739130435
PNUT,Extreme Fear,0.0,1,0.0
PNUT,Extreme Greed,8544.6855,19,0.5263157894736842
PNUT,Fear,984.738976,13,0.07692307692307693
PNUT,Greed,2483.019082,79,0.6835443037974683
POLYX,Greed,618.133683,14,0.9285714285714286
POPCAT,Extreme Fear,0.0,1,0.0
POPCAT,Fear,1366.464809,224,0.42410714285714285
POPCAT,Greed,18.3943,6,0.16666666666666666
POPCAT,Neutral,341.877629,56,0.375
PROMPT,Fear,599.92581,27,0.9629629629629629
PURR,Extreme Fear,-21.589617999999998,33,0.0
PURR,Extreme Greed,1110.8879670000001,12,0.3333333333333333
PURR,Fear,11649.121201,546,0.7875457875457875
PURR,Greed,11676.729647,295,0.5457627118644067
PURR,Neutral,1241.274117,122,0.8934426229508197
PURR/USDC,Extreme Fear,0.0,20,0.0
PURR/USDC,Extreme Greed,4243.732564,272,0.2536764705882353
PURR/USDC,Fear,32381.04908,797,0.3437892095357591
PURR/USDC,Greed,50981.91044,1219,0.4700574241181296
PURR/USDC,Neutral,940.155112,86,0.37209302325581395
PYTH,Extreme Greed,111.878376,6,0.5
PYTH,Fear,590.06989,84,0.38095238095238093
PYTH,Greed,1118.5681419999999,55,0.2909090909090909
RENDER,Fear,1916.6285599999999,24,0.6666666666666666
RENDER,Greed,4027.871434,166,0.5240963855421686
REQ,Fear,4.947336,19,0.6842105263157895
REZ,Fear,163.181056,13,0.7692307692307693
RLB,Extreme Greed,75.947736,4,0.5
RNDR,Extreme Greed,12041.844672,139,0.8201438848920863
RNDR,Fear,47.6918,2,0.5
RNDR,Greed,1475.52,30,0.9666666666666667
RNDR,Neutral,1.266086,5,0.4
RSR,Extreme Fear,160.127816,26,0.7307692307692307
RSR,Greed,5.303512,6,0.5
RUNE,Extreme Greed,1805.453279,63,0.5873015873015873
RUNE,Fear,4772.863396,157,0.6560509554140127
RUNE,Greed,-330.6583600000001,73,0.5205479452054794
RUNE,Neutral,-65.612606,20,0.2
S,Fear,-8642.64088,116,0.31896551724137934
SAND,Extreme Fear,0.0,3,0.0
SAND,Extreme Greed,34.072534000000005,6,0.3333333333333333
SAND,Fear,1074.225505,77,0.2597402597402597
SAND,Greed,17.68226,8,0.375
SCR,Greed,1612.97536,32,0.65625
SEI,Fear,2516.86436,155,0.7612903225806451
SEI,Greed,-928.027082,67,0.31343283582089554
SHIA,Extreme Greed,273.568643,5,0.6
SOL,Extreme Fear,167.652569,101,0.04950495049504951
SOL,Extreme Greed,1933.511087,71,0.352112676056338
SOL,Fear,1063234.005008,2735,0.4018281535648994
SOL,Greed,158887.755983,1656,0.41847826086956524
SOL,Neutral,262.473048,74,0.35135135135135137
SPX,Fear,2122.605148,41,0.6829268292682927
STG,Extreme Greed,179.54376000000002,7,0.7142857142857143
STRK,Extreme Greed,-1600.721077,24,0.16666666666666666
STRK,Fear,13.53095,7,0.7142857142857143
STRK,Greed,8.483716,9,0.5555555555555556
STRK,Neutral,48.937833,4,1.0
STX,Extreme Greed,1484.61133,42,0.9285714285714286
STX,Fear,0.0,53,0.0
STX,Greed,99.274662,33,0.42424242424242425
SUI,Extreme Fear,3.72735,8,0.125
SUI,Extreme Greed,722.90799,36,0.3333333333333333
SUI,Fear,58818.799454,574,0.4651567944250871
SUI,Greed,69970.517694,680,0.4308823529411765
SUI,Neutral,26.80934,26,0.19230769230769232
SUPER,Extreme Fear,0.0,3,0.0
SUSHI,Extreme Fear,0.0,1,0.0
SUSHI,Extreme Greed,99.544074,48,0.14583333333333334
SUSHI,Fear,165.239109,16,0.4375
SUSHI,Greed,8.986355,18,0.3333333333333333
SUSHI,Neutral,306.227325,16,0.625
TAO,Extreme Fear,0.0,1,0.0
TAO,Extreme Greed,9.504275,1,1.0
TAO,Fear,13588.103713,469,0.6545842217484008
TAO,Greed,0.068324,1,1.0
TAO,Neutral,1882.13669,22,0.7727272727272727
TIA,Extreme Fear,0.0,1,0.0
TIA,Extreme Greed,1020.23628,34,0.14705882352941177
TIA,Fear,-371.162276,52,0.17307692307692307
TIA,Greed,4056.618617,169,0.47928994082840237
TIA,Neutral,144.554665,32,0.34375
TNSR,Extreme Greed,1048.19443,214,0.5046728971962616
TNSR,Fear,357.902259,153,0.30718954248366015
TNSR,Greed,3283.044418,253,0.383399209486166
TNSR,Neutral,231.441955,40,0.35
TON,Fear,-16.544924,6,0.0
TON,Greed,-0.15074600000000027,22,0.18181818181818182
TON,Neutral,-1.40304,2,0.0
TRUMP,Fear,27039.594114,1045,0.44880382775119615
TRUMP,Greed,0.0,34,0.0
TRX,Extreme Greed,141.46889399999998,71,0.08450704225352113
TRX,Greed,528.6926100000001,9,0.5555555555555556
TST,Fear,3144.314369,161,0.5527950310559007
TURBO,Extreme Greed,7491.47082,29,0.5862068965517241
TURBO,Fear,1.1259480000000002,8,0.375
TURBO,Greed,29.025653,9,0.3333333333333333
TURBO,Neutral,130.883691,12,0.5833333333333334
UNI,Extreme Fear,0.0,1,0.0
UNI,Extreme Greed,53.801623,7,0.42857142857142855
UNI,Fear,239.41846800000002,27,0.2222222222222222
UNI,Greed,13.561684,2,0.5
UNIBOT,Extreme Greed,325.055769,4,0.5
USTC,Extreme Greed,333.339015,3,0.6666666666666666
USTC,Fear,13.354154999999999,46,0.43478260869565216
USTC,Greed,0.0,1,0.0
USUAL,Fear,49744.618476,363,0.4573002754820937
USUAL,Greed,21066.359357999998,179,0.8268156424581006
VINE,Fear,1478.987583,289,0.48788927335640137
VINE,Greed,1653.13782,77,0.24675324675324675
VIRTUAL,Extreme Fear,111.96326499999999,5,0.4
VIRTUAL,Fear,19662.131496,341,0.6598240469208211
VIRTUAL,Greed,1015.82425,37,0.35135135135135137
VIRTUAL,Neutral,-7.18059,13,0.46153846153846156
VVV,Fear,1557.896476,42,0.9285714285714286
W,Extreme Fear,0.0,1,0.0
W,Extreme Greed,113.419746,36,0.4444444444444444
W,Fear,228.656936,273,0.315018315018315
W,Greed,172.404018,52,0.4230769230769231
W,Neutral,1029.7698129999999,223,0.336322869955157
WIF,Extreme Fear,0.0,1,0.0
WIF,Extreme Greed,3493.238638,43,0.9302325581395349
WIF,Fear,1646.456594,62,0.5806451612903226
WIF,Greed,4398.226016,106,0.5377358490566038
WIF,Neutral,2581.601101,47,0.6808510638297872
WLD,Extreme Fear,0.0,5,0.0
WLD,Extreme Greed,12596.086735,238,0.819327731092437
WLD,Fear,6540.037843,292,0.3835616438356164
WLD,Greed,3621.777022,342,0.2719298245614035
WLD,Neutral,7558.909492,659,0.40971168437025796
XAI,Extreme Greed,24.573897000000002,4,0.75
XAI,Fear,1049.63991,4,0.75
